Date,Product,Category,Quantity,Price,Total
2023-01-01,Laptop,Electronics,5,999.99,4999.95
2023-01-02,T-shirt,Clothing,20,19.99,399.80
2023-01-03,Book,Books,15,14.99,224.85
2023-01-04,Smartphone,Electronics,3,599.99,1799.97
2023-01-05,Jeans,Clothing,10,49.99,499.90
2023-01-06,Tablet,Electronics,2,299.99,599.98
2023-01-07,Hoodie,Clothing,8,39.99,319.92
2023-01-08,Headphones,Electronics,12,79.99,959.88
2023-01-09,Skirt,Clothing,6,29.99,179.94
2023-01-10,Desktop PC,Electronics,1,1499.99,1499.99
2023-01-11,Socks,Clothing,30,4.99,149.70
2023-01-12,E-reader,Electronics,4,129.99,519.96
2023-01-13,Dress,Clothing,3,79.99,239.97
2023-01-14,Smartwatch,Electronics,7,199.99,1399.93
2023-01-15,Jacket,Clothing,2,89.99,179.98
